"inggeris ","melayu ","makna"
"water ","air ","cecair jernih di dalam sungai dan laut"
"chlorophyl ","klorofil ","pigmen hijau di dalam daun-daun tumbuhan"
"rice flour ","tepung beras ","tepung daripada beras digiling halus"
"... ","... ","..."
