melayu,"kata sama","kata lawan"
awal,cepat,akhir
baik,"bagus, elok",buruk
bujang,"dara, teruna",kahwin
dikit,"sedikit, kurang, tidak banyak",banyak
kanan,timur,kiri
lulus,berjaya,gagal
mula,"asal, punca, sumber",tamat
putih,"cerah, tidak hitam",hitam
tunggal,"satu, sebelah, tidak majmuk",majmuk
warna,rona,"tanpa warna"
