"inggeris","ke","melayu","di"
"accessible",1,"mudah sampai, capai atau dapat","M"
"aristocracy",1,"bangsawan","A"
"chronicle",1,"riwayat","A+"
"chronicle",2,"mencatat dalam riwayat","M"
