"melayu","kata lawan"
"awal","akhir"
"baik","buruk"
"bujang","kahwin"
"dikit","banyak"
"kanan","kiri"
"lulus","gagal"
"mula","tamat"
"putih","hitam"
"sedikit","banyak"
"tunggal","majmuk"
"warna","tanpa warna"
