"kata dasar","kata sama"
"awal","cepat"
"baik","bagus"
"baik","elok"
"bujang","dara"
"bujang","teruna"
"dikit","sedikit"
"dikit","kurang"
"dikit","tidak banyak"
"kanan","timur"
"lulus","berjaya"
"mula","asal"
"mula","punca"
"mula","sumber"
"putih","cerah"
"putih","tidak hitam"
"tunggal","satu"
"tunggal","sebelah"
"tunggal","tidak majmuk"
"warna","rona"
